episode,timestep,reward
34,2000,396.1684
67,4000,512.901
98,6000,582.1661
129,8000,613.557
159,10000,629.9747
189,12000,658.9141
217,14000,712.1334
243,16000,672.0189
269,18000,713.4947
294,20000,687.1621
318,22000,685.9727
346,24000,700.7473
375,26000,769.8474
405,28000,756.4811
435,30000,833.3606
465,32000,803.2395
495,34000,799.254
526,36000,733.5295
556,38000,761.7204
586,40000,811.0559
615,42000,812.1735
646,44000,757.6359
676,46000,861.49
705,48000,854.8218
734,50000,861.1582
762,52000,867.4739
790,54000,836.3454
818,56000,896.3522
847,58000,886.044
877,60000,802.4533
907,62000,837.523
936,64000,856.4921
965,66000,946.4834
991,68000,943.8885
1017,70000,966.1
1042,72000,1038.4937
1067,74000,1091.5056
1095,76000,989.7235
1122,78000,997.8756
1150,80000,983.6867
1178,82000,942.0707
1206,84000,922.563
1234,86000,941.6954
1261,88000,976.0309
