episode,timestep,reward
8,2000,465.4643
12,4000,536.571
22,6000,436.9031
25,8000,319.5048
32,10000,386.6342
64,12000,448.548
92,14000,421.4349
112,16000,434.2717
143,18000,474.23
173,20000,480.477
203,22000,474.9829
219,24000,449.894
248,26000,534.6631
271,28000,464.7289
293,30000,426.6049
316,32000,445.2826
338,34000,405.3176
360,36000,418.3664
382,38000,442.6239
403,40000,439.1242
425,42000,425.1037
447,44000,461.6385
468,46000,514.6753
488,48000,505.7007
509,50000,543.0791
529,52000,557.5873
549,54000,584.1979
569,56000,633.1417
588,58000,660.7685
608,60000,607.6279
628,62000,650.0272
648,64000,696.234
668,66000,675.8101
688,68000,658.7372
708,70000,671.8227
729,72000,714.6232
749,74000,707.4214
769,76000,721.5551
790,78000,748.5001
810,80000,744.3238
831,82000,780.8811
851,84000,783.3536
872,86000,791.303
892,88000,807.4352
912,90000,812.4425
932,92000,835.8721
952,94000,802.8269
972,96000,828.5467
992,98000,845.7989
1011,100000,889.7303
1031,102000,888.6281
1051,104000,893.2158
1070,106000,911.0731
1090,108000,873.4444
1109,110000,908.4647
1129,112000,924.3925
1148,114000,945.5783
1167,116000,879.0835
1187,118000,907.666
1207,120000,901.5826
1226,122000,920.1718
1245,124000,901.6419
1265,126000,854.4501
1285,128000,848.971
1304,130000,876.9214
1324,132000,719.6049
1343,134000,602.6019
1363,136000,620.2718
1382,138000,659.5864
1402,140000,658.5331
1422,142000,683.8021
1441,144000,698.7014
1461,146000,707.1257
1481,148000,766.0745
1501,150000,787.1101
1521,152000,805.2133
1541,154000,750.7365
1554,156000,772.3272
1561,158000,860.2782
1564,160000,438.048
1566,162000,345.1932
1568,164000,345.1932
1570,166000,345.1932
1572,168000,322.6909
1574,170000,325.7871
1576,172000,224.9761
1578,174000,303.9291
1580,176000,304.6163
1582,178000,353.7082
1584,180000,551.7976
1586,182000,495.7098
1588,184000,325.7871
1590,186000,357.5923
1592,188000,345.1932
1594,190000,361.8462
1596,192000,300.4121
1598,194000,304.7799
1600,196000,331.8721
1602,198000,384.2226
1604,200000,312.6544
1606,202000,338.5025
1608,204000,426.716
1610,206000,351.3823
1612,208000,419.3817
1614,210000,331.2145
1616,212000,327.4462
1618,214000,485.404
1620,216000,360.8751
1622,218000,331.8721
1624,220000,345.8119
1626,222000,355.2335
1628,224000,345.1932
1630,226000,335.2958
1632,228000,217.6741
1634,230000,344.905
1636,232000,342.9062
1638,234000,359.9398
1640,236000,405.0489
1642,238000,345.1932
1644,240000,289.5263
1646,242000,285.0597
1648,244000,313.0167
1650,246000,338.5025
1652,248000,185.8689
1654,250000,324.1456
1656,252000,289.1613
1658,254000,345.1932
1660,256000,329.525
1662,258000,350.6206
1664,260000,331.5807
1666,262000,348.4479
1668,264000,419.1986
1670,266000,298.3338
1672,268000,318.76
1674,270000,352.7471
1676,272000,348.8219
1678,274000,360.1633
1680,276000,528.4788
1682,278000,338.1862
1684,280000,335.6618
1686,282000,304.2619
1688,284000,176.8272
1690,286000,312.593
1692,288000,318.8747
1694,290000,302.8846
1696,292000,330.4597
1698,294000,338.1661
1700,296000,332.6784
1702,298000,345.1932
1704,300000,353.7082
1706,302000,338.5025
1708,304000,317.0275
1710,306000,382.948
1712,308000,418.9738
1714,310000,345.1932
1716,312000,198.3626
1718,314000,345.1932
1720,316000,300.833
1722,318000,296.6796
1724,320000,350.9016
1726,322000,255.2772
1728,324000,358.7266
1730,326000,357.5923
1732,328000,308.4828
1734,330000,208.837
1736,332000,357.5923
1738,334000,489.7288
1740,336000,311.9884
1742,338000,402.2982
1744,340000,325.7871
1746,342000,435.1363
1748,344000,338.5025
1750,346000,496.6297
1752,348000,345.1932
