episode,timestep,reward
31,2000,116.0741
62,4000,120.8899
94,6000,131.613
126,8000,137.1991
158,10000,136.4911
189,12000,138.2063
219,14000,138.3156
248,16000,140.4527
278,18000,144.3621
307,20000,146.0377
339,22000,142.995
372,24000,140.2988
406,26000,117.9733
439,28000,145.4101
473,30000,139.5387
507,32000,143.1115
541,34000,141.3826
574,36000,133.9168
609,38000,145.3769
642,40000,146.1791
676,42000,143.4575
709,44000,150.4194
742,46000,153.4616
773,48000,151.9045
804,50000,153.6395
835,52000,154.8564
869,54000,151.7213
902,56000,152.415
935,58000,153.0116
966,60000,154.6146
997,62000,154.0075
1031,64000,151.5615
1064,66000,153.4597
1095,68000,156.177
1128,70000,150.122
1161,72000,149.3761
1194,74000,153.2192
1227,76000,151.4876
1261,78000,156.7883
1294,80000,156.5115
1326,82000,153.4586
1358,84000,153.2124
1392,86000,153.9829
1424,88000,152.7591
1456,90000,152.8261
1489,92000,155.5298
1522,94000,152.1854
1555,96000,151.9355
1589,98000,148.56
1621,100000,150.2418
1654,102000,156.8208
1686,104000,157.206
1719,106000,155.1637
1752,108000,160.1057
1785,110000,159.7705
1817,112000,157.8785
1849,114000,163.7137
1882,116000,159.1652
1915,118000,160.5176
1948,120000,162.0389
1981,122000,161.0564
2015,124000,158.8892
2048,126000,162.147
2082,128000,160.0344
2115,130000,160.7263
2148,132000,160.749
2181,134000,161.7332
2215,136000,160.7945
2248,138000,160.3654
2282,140000,160.479
2316,142000,158.3265
2349,144000,161.1652
2382,146000,160.2595
2415,148000,159.1385
2449,150000,158.4798
2483,152000,155.642
2517,154000,156.9118
2550,156000,160.5798
2583,158000,161.5349
2616,160000,157.8114
2649,162000,162.3552
2682,164000,163.2126
2715,166000,161.6717
2747,168000,161.9008
2780,170000,163.4089
2812,172000,160.2501
2845,174000,162.2809
2877,176000,162.1489
2909,178000,162.5451
2942,180000,160.8631
2975,182000,160.4152
3006,184000,165.3173
3038,186000,162.6533
3069,188000,163.6287
3101,190000,165.1837
3134,192000,164.5883
3167,194000,160.5172
3200,196000,163.8521
3233,198000,163.207
3266,200000,163.1791
3298,202000,164.0548
3331,204000,164.0317
3365,206000,160.4467
3398,208000,161.8241
3432,210000,161.028
3466,212000,158.2908
3500,214000,159.1229
3533,216000,156.8419
3567,218000,159.9728
3601,220000,160.9508
3635,222000,157.3413
3669,224000,157.6866
3703,226000,153.9848
3736,228000,159.3186
3769,230000,162.5303
3800,232000,163.4489
3832,234000,165.1899
3864,236000,163.8907
3897,238000,162.7472
3929,240000,165.5814
3961,242000,161.2725
3993,244000,161.1508
4025,246000,165.8604
4058,248000,160.1208
4090,250000,162.9975
4123,252000,163.9203
4155,254000,164.3053
4189,256000,160.2815
4222,258000,161.513
4255,260000,162.9091
4288,262000,161.0916
4321,264000,160.5932
4353,266000,162.2109
4387,268000,160.5779
4419,270000,163.0724
4453,272000,160.2234
4487,274000,162.297
4521,276000,161.7247
4554,278000,161.5078
4587,280000,161.2987
4621,282000,160.7786
4654,284000,162.678
4686,286000,165.5547
4718,288000,165.5304
4749,290000,167.8712
4781,292000,164.9117
4812,294000,162.6332
4844,296000,163.6435
4878,298000,158.5252
