episode,timestep,reward
17,2000,684.8945
35,4000,700.1793
53,6000,773.9399
71,8000,865.2535
81,10000,1281.2187
95,12000,616.408
104,14000,676.1915
121,16000,852.5156
137,18000,794.3266
153,20000,872.4229
168,22000,879.8589
183,24000,910.624
199,26000,932.0474
214,28000,941.9413
229,30000,908.2654
245,32000,935.5351
260,34000,916.4092
276,36000,917.9506
292,38000,945.7559
307,40000,916.3429
322,42000,925.7917
337,44000,942.8952
352,46000,954.037
367,48000,927.606
383,50000,945.4537
398,52000,926.9434
414,54000,948.2665
429,56000,950.4142
445,58000,945.1644
461,60000,947.1036
476,62000,948.8522
492,64000,958.578
507,66000,949.5514
523,68000,928.2911
539,70000,913.1256
554,72000,943.9066
569,74000,964.7214
585,76000,959.1406
600,78000,941.9908
616,80000,969.8271
631,82000,944.22
