episode,timestep,reward
17,2000,945.3755
34,4000,947.8089
51,6000,945.646
68,8000,958.9908
85,10000,957.4897
102,12000,960.898
119,14000,952.0534
137,16000,960.8885
154,18000,956.8478
172,20000,946.7333
189,22000,954.1236
207,24000,943.2784
224,26000,943.4397
242,28000,954.4206
259,30000,953.4493
276,32000,966.6251
293,34000,947.0622
310,36000,957.5353
328,38000,962.8386
345,40000,932.4497
363,42000,946.6295
381,44000,935.6759
399,46000,941.2232
416,48000,957.6442
434,50000,948.1467
451,52000,962.3925
469,54000,943.6706
486,56000,948.6473
503,58000,949.7559
520,60000,977.4209
