episode,timestep,reward
9,2000,169.9418
16,4000,198.8434
24,6000,302.0511
37,8000,341.7326
40,10000,190.9731
43,12000,237.1878
51,14000,298.3791
57,16000,375.4556
59,18000,410.0026
61,20000,473.2951
65,22000,461.0033
68,24000,317.9335
71,26000,406.8178
74,28000,405.9235
76,30000,436.0513
79,32000,428.1703
84,34000,394.1461
86,36000,499.9945
88,38000,441.3364
92,40000,353.4996
94,42000,340.0983
96,44000,470.3137
98,46000,415.3775
103,48000,251.402
106,50000,330.2375
109,52000,492.5391
114,54000,511.6123
116,56000,500.7516
118,58000,504.0187
122,60000,425.7524
125,62000,419.8396
