episode,timestep,reward
35,2000,463.0798
69,4000,530.2563
101,6000,564.1511
134,8000,519.0
168,10000,510.7436
201,12000,569.4166
234,14000,535.369
267,16000,531.4685
300,18000,536.8311
334,20000,505.0301
367,22000,521.0061
399,24000,563.9753
432,26000,540.9505
465,28000,535.1235
498,30000,558.0948
532,32000,557.0391
565,34000,573.6345
598,36000,580.8174
630,38000,547.0761
662,40000,616.2464
695,42000,580.5379
726,44000,664.9789
758,46000,638.8041
790,48000,643.3062
821,50000,658.9029
852,52000,676.2252
883,54000,649.5091
915,56000,596.3486
947,58000,638.9998
980,60000,650.4001
1012,62000,643.8142
1044,64000,626.6331
1077,66000,626.9066
1110,68000,627.6489
1143,70000,614.8934
1175,72000,645.576
1207,74000,640.0175
1239,76000,639.469
1271,78000,653.8198
1302,80000,679.6051
1332,82000,676.8035
1363,84000,700.4799
1393,86000,685.0609
