episode,timestep,reward
14,2000,815.726
29,4000,847.9835
45,6000,753.6755
61,8000,825.3402
78,10000,677.0809
93,12000,735.1217
108,14000,753.0972
123,16000,780.9029
138,18000,825.2009
153,20000,847.2688
169,22000,599.3827
187,24000,721.5872
199,26000,772.6732
201,28000,575.1498
212,30000,803.2211
229,32000,841.2159
246,34000,856.0589
263,36000,850.4284
281,38000,857.5563
298,40000,854.2594
316,42000,856.8664
333,44000,867.4238
350,46000,871.38
367,48000,896.1744
384,50000,886.9554
402,52000,904.2583
418,54000,913.9669
434,56000,921.838
451,58000,880.8846
468,60000,872.783
486,62000,893.5815
503,64000,901.3616
520,66000,898.2242
537,68000,913.5397
553,70000,926.0894
570,72000,911.5
585,74000,939.8417
601,76000,923.4852
616,78000,920.2213
633,80000,900.1505
651,82000,858.6184
668,84000,846.1288
686,86000,804.3435
703,88000,825.091
720,90000,849.1854
737,92000,849.8328
754,94000,855.8343
