episode,timestep,reward
16,2000,946.8304
33,4000,960.2221
50,6000,929.5571
67,8000,930.2584
84,10000,930.7251
100,12000,912.6071
116,14000,953.2602
132,16000,942.5342
149,18000,934.549
165,20000,914.6894
180,22000,930.1171
196,24000,929.9103
212,26000,931.0632
228,28000,925.8834
244,30000,948.9851
259,32000,947.1799
275,34000,936.8598
291,36000,902.9792
307,38000,904.3232
323,40000,859.1489
340,42000,876.3055
356,44000,857.4108
371,46000,901.008
387,48000,906.1502
403,50000,890.2738
418,52000,899.7977
434,54000,890.3799
450,56000,881.0077
467,58000,878.8791
483,60000,862.1028
499,62000,861.6241
516,64000,839.2238
532,66000,875.5398
549,68000,848.6151
566,70000,842.9269
582,72000,871.8092
599,74000,892.603
615,76000,868.9449
632,78000,887.6104
649,80000,904.9045
666,82000,895.6139
683,84000,887.0435
700,86000,902.3073
718,88000,871.4231
735,90000,826.6444
