episode,timestep,reward
33,2000,114.1128
65,4000,129.2789
96,6000,143.2608
127,8000,141.7322
157,10000,142.2227
187,12000,146.7692
217,14000,155.9807
246,16000,150.3643
275,18000,150.2035
304,20000,147.8558
334,22000,150.116
365,24000,147.9166
396,26000,148.3466
425,28000,150.684
453,30000,153.2645
481,32000,157.5304
511,34000,144.2023
541,36000,147.5776
572,38000,156.0279
601,40000,153.9398
630,42000,158.765
659,44000,153.3963
685,46000,158.0325
713,48000,166.9159
740,50000,166.708
768,52000,150.8904
795,54000,157.5129
821,56000,166.3531
847,58000,167.1224
873,60000,168.7344
899,62000,177.6303
926,64000,162.9501
950,66000,172.0094
975,68000,178.202
999,70000,177.6498
1025,72000,176.6839
1052,74000,167.7594
1078,76000,174.7014
1104,78000,171.4714
1131,80000,170.0254
1157,82000,164.1198
1182,84000,177.1301
1209,86000,171.455
1233,88000,180.3572
1258,90000,185.0028
1283,92000,185.529
1309,94000,185.6173
1334,96000,183.0979
1358,98000,182.2911
1381,100000,179.6941
1405,102000,175.4166
1430,104000,183.7463
1457,106000,178.1746
1482,108000,183.0597
1507,110000,175.9814
1534,112000,174.8864
1558,114000,169.4434
1582,116000,178.1894
1604,118000,188.7832
1629,120000,185.147
1653,122000,190.7787
1677,124000,191.3582
1700,126000,193.2839
1725,128000,191.1107
1748,130000,186.0148
1770,132000,192.3287
1794,134000,192.4753
1819,136000,191.7896
1843,138000,176.7726
1868,140000,186.8474
1893,142000,172.1832
1918,144000,186.1015
1942,146000,193.9432
1965,148000,198.3334
1988,150000,198.2596
2010,152000,198.0106
2034,154000,193.9487
2058,156000,187.7366
2082,158000,192.533
2107,160000,191.4713
2128,162000,195.9769
2150,164000,197.5731
2174,166000,199.4813
2197,168000,188.356
2220,170000,197.7311
2242,172000,197.6419
2265,174000,204.4431
2289,176000,198.117
2312,178000,205.7669
2335,180000,198.8082
2359,182000,195.7384
2384,184000,191.0759
2408,186000,193.6544
2431,188000,196.6499
2454,190000,202.9934
2476,192000,202.4571
2499,194000,199.3643
2522,196000,196.6468
2546,198000,199.1673
2568,200000,207.7711
2591,202000,205.594
2613,204000,208.825
2635,206000,206.7436
2657,208000,198.7872
2680,210000,192.189
2703,212000,202.669
2726,214000,197.8377
2748,216000,203.8699
2769,218000,198.7103
2792,220000,200.3283
2814,222000,201.0203
2837,224000,196.6036
2859,226000,203.9882
2882,228000,192.4733
2904,230000,201.1424
2926,232000,205.7738
2949,234000,197.8305
2972,236000,195.9412
2994,238000,201.6076
3016,240000,197.0756
3039,242000,200.5257
3062,244000,202.0086
3085,246000,193.3381
3107,248000,202.3336
3130,250000,201.1849
3153,252000,205.1398
3175,254000,208.5234
3196,256000,211.5267
3218,258000,211.5819
3241,260000,203.0451
3263,262000,208.8876
3284,264000,214.1761
3305,266000,205.0275
3327,268000,205.4301
3349,270000,207.3896
3370,272000,214.1396
3392,274000,211.6288
3413,276000,210.8884
3437,278000,198.3138
3459,280000,193.8707
3481,282000,201.1351
3504,284000,198.4894
3526,286000,203.9434
3549,288000,201.5991
3572,290000,205.5427
3596,292000,200.0245
3621,294000,202.2156
3644,296000,197.9988
3668,298000,198.5606
3692,300000,193.7469
3715,302000,203.6933
3737,304000,202.5308
3759,306000,208.5454
3783,308000,206.8351
3806,310000,212.772
3830,312000,209.2564
3853,314000,209.4837
3876,316000,210.8077
3899,318000,201.8943
3923,320000,199.7986
3947,322000,204.0625
3970,324000,206.0105
