episode,timestep,reward
35,2000,391.4401
70,4000,471.6585
107,6000,396.2148
143,8000,354.5687
179,10000,359.3637
214,12000,357.0439
249,14000,411.1121
282,16000,463.0808
314,18000,491.5617
344,20000,602.1945
373,22000,644.5778
402,24000,627.0286
431,26000,641.5355
459,28000,690.4884
488,30000,728.0443
515,32000,676.1428
546,34000,724.8384
577,36000,707.2758
610,38000,681.4558
643,40000,711.3423
675,42000,727.5657
705,44000,746.1732
736,46000,730.3638
768,48000,716.032
799,50000,739.3299
829,52000,734.7141
857,54000,750.8179
885,56000,791.743
914,58000,776.9852
944,60000,797.0261
971,62000,856.8822
998,64000,838.6228
1027,66000,794.8918
1056,68000,797.4608
1085,70000,805.7559
1113,72000,853.8336
1142,74000,824.2332
1172,76000,795.6139
1201,78000,834.773
1228,80000,911.5098
1256,82000,911.3038
1284,84000,880.3455
1312,86000,906.679
1339,88000,853.4168
1366,90000,873.3475
1394,92000,854.5142
1422,94000,874.7869
1451,96000,853.7854
1479,98000,910.5099
1506,100000,907.7981
1535,102000,890.5791
1565,104000,810.9578
1593,106000,895.0931
1621,108000,892.9444
1648,110000,888.1526
1676,112000,931.5756
1703,114000,921.9889
1731,116000,911.8291
1756,118000,952.0309
1782,120000,952.0767
1809,122000,941.8569
1836,124000,942.2345
1863,126000,924.9821
1891,128000,934.3666
1919,130000,955.1162
1947,132000,956.3056
1974,134000,971.6698
