episode,timestep,reward
17,2000,1823.0029
34,4000,1838.726
52,6000,1823.5347
70,8000,1856.5746
88,10000,1800.481
105,12000,1806.9309
123,14000,1802.3208
140,16000,1850.2543
157,18000,1819.7562
175,20000,1837.2199
192,22000,1863.3494
210,24000,1859.2458
227,26000,1834.8158
245,28000,1839.4413
262,30000,1845.744
280,32000,1842.7699
298,34000,1877.5301
316,36000,1832.379
333,38000,1883.543
350,40000,1837.0678
368,42000,1840.3533
385,44000,1847.9585
402,46000,1859.4236
419,48000,1855.6484
437,50000,1861.3649
455,52000,1808.1194
473,54000,1837.8402
490,56000,1846.4878
508,58000,1823.3578
525,60000,1809.6049
542,62000,1863.3286
559,64000,1860.2906
575,66000,1869.3793
593,68000,1878.9022
610,70000,1849.9307
628,72000,1856.5602
645,74000,1878.2454
663,76000,1895.8381
680,78000,1853.289
697,80000,1894.6035
714,82000,1905.2257
731,84000,1894.7017
748,86000,1894.2793
766,88000,1915.9115
784,90000,1905.7583
802,92000,1888.1227
820,94000,1858.3869
838,96000,1823.7766
855,98000,1916.913
872,100000,1934.8999
889,102000,1928.534
906,104000,1868.6982
924,106000,1907.892
941,108000,1877.0714
957,110000,1897.8109
974,112000,1894.1985
991,114000,1922.6907
1008,116000,1956.7743
1025,118000,1893.5714
1041,120000,1865.8407
1058,122000,1896.9518
1074,124000,1840.737
1090,126000,1876.7248
1106,128000,1948.368
1122,130000,1871.2534
1138,132000,1901.319
1155,134000,1858.9431
1172,136000,1825.3705
1189,138000,1836.8999
1206,140000,1840.7235
1223,142000,1839.0411
1240,144000,1865.9503
1256,146000,1862.2148
1272,148000,1862.8196
1289,150000,1845.8075
1305,152000,1879.5119
1322,154000,1918.3341
1338,156000,1868.89
1355,158000,1931.7497
1371,160000,1946.8819
1388,162000,1925.9632
1404,164000,1962.4278
1421,166000,1964.1384
1437,168000,1957.5749
1454,170000,1964.9608
1470,172000,1935.2763
1487,174000,1970.936
1502,176000,1988.107
1518,178000,1957.9257
1534,180000,1925.7949
1550,182000,1931.1985
1565,184000,1955.5889
1581,186000,1977.0437
1597,188000,1979.9929
1612,190000,1988.4165
1628,192000,1977.2531
1644,194000,1980.4904
1659,196000,1966.3128
