episode,timestep,reward
29,2000,527.7369
49,4000,912.0433
63,6000,999.9325
73,8000,996.11
82,10000,1033.7909
92,12000,983.8999
104,14000,1035.7033
117,16000,948.1243
131,18000,911.211
143,20000,885.827
157,22000,850.9717
168,24000,896.7848
180,26000,860.6869
192,28000,883.648
204,30000,865.1391
217,32000,849.812
232,34000,861.0849
248,36000,821.808
263,38000,694.1894
278,40000,761.0641
294,42000,719.9015
311,44000,730.8069
326,46000,750.9804
344,48000,705.215
359,50000,709.9847
376,52000,742.8704
393,54000,820.0073
412,56000,798.3834
428,58000,783.3358
444,60000,864.1425
460,62000,816.637
479,64000,781.7583
498,66000,729.2529
517,68000,770.8589
536,70000,750.6967
553,72000,827.5524
570,74000,731.666
586,76000,813.1321
602,78000,941.7667
619,80000,833.0631
637,82000,803.8496
656,84000,749.0209
676,86000,751.4498
695,88000,771.6485
713,90000,860.5986
732,92000,768.1199
751,94000,733.4368
770,96000,831.3631
789,98000,838.6732
808,100000,874.5773
825,102000,909.2518
842,104000,915.299
859,106000,910.5198
876,108000,892.4712
895,110000,854.8524
916,112000,806.6831
938,114000,843.6706
960,116000,774.7843
979,118000,868.7382
998,120000,863.2737
1019,122000,825.4466
1040,124000,785.6171
1063,126000,767.2191
1085,128000,798.9546
1108,130000,754.4353
1129,132000,766.9591
1153,134000,759.0497
1176,136000,794.9075
1197,138000,856.3408
1216,140000,809.5183
1234,142000,846.7566
1252,144000,862.8876
1272,146000,839.014
1293,148000,883.8247
1310,150000,929.242
1328,152000,937.8712
1346,154000,856.5552
1367,156000,844.6477
1388,158000,815.5487
1409,160000,801.6368
1432,162000,790.9314
1450,164000,863.8245
1469,166000,835.1312
1489,168000,802.5196
1507,170000,887.9153
1526,172000,946.5391
1547,174000,874.7828
1566,176000,853.8989
1586,178000,867.158
1607,180000,889.1378
1628,182000,816.4738
1649,184000,941.9153
1670,186000,881.4761
1693,188000,876.0325
1717,190000,836.2709
1739,192000,893.4205
1762,194000,897.7591
1782,196000,905.4578
1804,198000,875.2442
1826,200000,885.0356
1848,202000,877.9779
1867,204000,945.993
1888,206000,889.6457
1907,208000,947.4829
1924,210000,931.9132
1944,212000,887.8599
1962,214000,925.7431
1980,216000,878.7418
2002,218000,766.6124
2022,220000,841.4643
2041,222000,1011.4727
2063,224000,966.4872
2083,226000,945.3089
2102,228000,989.8168
2122,230000,964.9267
2142,232000,935.2843
2163,234000,951.209
2185,236000,898.6374
2210,238000,798.8419
2233,240000,777.0126
2253,242000,934.6299
2275,244000,976.068
2293,246000,1002.3245
2313,248000,896.8013
2333,250000,894.932
2352,252000,935.1025
2371,254000,996.2167
2391,256000,973.7816
2410,258000,991.517
2431,260000,960.8474
2450,262000,921.5037
2468,264000,917.5324
2486,266000,946.9106
2505,268000,905.7813
2525,270000,935.5439
2545,272000,954.7359
2564,274000,912.9236
2582,276000,860.2484
2603,278000,878.9833
2623,280000,895.9719
2641,282000,906.4079
2662,284000,839.8478
2681,286000,946.4232
2700,288000,899.4032
2720,290000,892.3163
2739,292000,884.7287
2755,294000,893.9521
2771,296000,861.6723
2792,298000,828.9837
2810,300000,914.7523
2828,302000,1022.3349
2845,304000,1052.8429
2864,306000,952.2823
2885,308000,910.4933
2904,310000,985.2174
2922,312000,1057.4899
2942,314000,990.2806
2960,316000,1018.5627
2977,318000,1025.4174
2999,320000,977.7825
3017,322000,983.4546
3036,324000,985.1813
3054,326000,948.1859
3073,328000,1039.6111
3091,330000,1010.8198
3108,332000,1008.1707
3127,334000,942.1751
3143,336000,982.9451
3160,338000,1037.9137
3179,340000,1003.2546
3196,342000,1022.8499
3215,344000,957.8277
3235,346000,995.0504
3252,348000,1031.7303
3271,350000,936.1898
3289,352000,1018.2046
3306,354000,979.8767
3325,356000,999.1478
3343,358000,896.901
3360,360000,995.4698
3377,362000,1015.6832
3397,364000,985.2912
3414,366000,1013.9232
3432,368000,1005.0705
3452,370000,942.3949
3471,372000,965.1409
3490,374000,1004.7691
3509,376000,969.7174
3527,378000,921.6412
3545,380000,942.7504
3563,382000,948.3856
3580,384000,964.4871
3601,386000,950.5731
3620,388000,931.0254
3640,390000,965.4423
3660,392000,920.2612
3676,394000,1017.9739
3692,396000,1055.1306
3710,398000,1051.1169
3728,400000,996.3918
3747,402000,978.8299
3764,404000,1016.475
3780,406000,1063.9454
3798,408000,986.9648
3816,410000,939.5355
3835,412000,886.5942
3852,414000,995.7795
3870,416000,992.9295
3888,418000,1025.6535
3906,420000,990.6705
3925,422000,953.7832
3941,424000,1036.5776
3959,426000,1003.1639
3979,428000,961.2253
3997,430000,997.6487
4015,432000,999.3604
4032,434000,956.2056
4052,436000,986.4901
4070,438000,991.2561
4089,440000,994.1076
4109,442000,1036.7001
