episode,timestep,reward
32,2000,4508.5468
59,4000,3554.8186
85,6000,7254.4921
111,8000,76.3798
136,10000,3749.1477
162,12000,1429.9705
185,14000,-2312.9809
209,16000,7165.0605
227,18000,9256.4737
248,20000,8877.3628
270,22000,7560.0581
290,24000,9409.0478
312,26000,4990.3139
332,28000,9757.2325
352,30000,8059.8311
374,32000,8026.8399
397,34000,8886.0059
418,36000,9178.5552
442,38000,-111.6611
466,40000,-1050.5394
488,42000,8539.1536
512,44000,8071.7056
535,46000,7199.6487
557,48000,9071.5867
580,50000,8579.4165
605,52000,8022.6795
630,54000,5772.3376
654,56000,8709.6615
676,58000,9174.8147
700,60000,8364.7723
726,62000,-4823.1055
749,64000,8681.7766
771,66000,8259.2067
793,68000,8618.5161
817,70000,-329.0489
840,72000,8270.1011
863,74000,-6935.8318
884,76000,8977.5385
903,78000,9439.9471
922,80000,9253.4772
941,82000,9017.6626
960,84000,273.4644
981,86000,8475.6911
1004,88000,8313.7159
1023,90000,8580.3766
1044,92000,8649.0339
1067,94000,5795.1299
1092,96000,4751.8945
1113,98000,8538.9745
1134,100000,6246.3807
1155,102000,7051.0305
1179,104000,7960.5538
1200,106000,7935.1415
1222,108000,1938.6356
1241,110000,9183.0839
1259,112000,9853.7674
1279,114000,9627.0255
1298,116000,9811.1093
1316,118000,7373.8174
1338,120000,6790.2553
1359,122000,8565.2873
1377,124000,9179.2874
1395,126000,9783.1389
1414,128000,9140.0057
1435,130000,9333.1762
1457,132000,9374.7187
1480,134000,8798.0681
1499,136000,8843.0917
1517,138000,9676.7705
1535,140000,7978.5296
1556,142000,9514.8782
1578,144000,9440.9324
1595,146000,10131.6019
1613,148000,9343.4977
1635,150000,8403.4155
1658,152000,8404.9951
1677,154000,8653.2863
1699,156000,7991.957
1722,158000,2026.1112
1742,160000,8728.6108
1763,162000,7782.1555
1785,164000,8784.4617
1806,166000,-2656.7974
1829,168000,8067.7324
1846,170000,9032.4393
1872,172000,8090.8257
1894,174000,8590.8741
1916,176000,8191.2151
1937,178000,8640.709
1958,180000,9431.6202
1979,182000,2380.6351
2002,184000,-697.232
2021,186000,8162.2034
2043,188000,6556.1389
2065,190000,8742.1053
2086,192000,9167.9289
2105,194000,6651.0578
2127,196000,8842.2266
2148,198000,10150.9745
2168,200000,9789.8039
2187,202000,8120.0508
2206,204000,9777.8095
2228,206000,4489.0766
2249,208000,9673.8339
2268,210000,9716.768
2288,212000,7961.5401
2309,214000,9792.4368
2331,216000,8210.5671
2349,218000,9537.4121
2365,220000,9916.0477
2383,222000,9629.9481
2402,224000,6920.9443
2427,226000,918.238
2448,228000,9566.942
2469,230000,6688.2066
2489,232000,9666.8068
2508,234000,9584.1424
2527,236000,9507.8895
2548,238000,9723.1631
2568,240000,9659.8805
2590,242000,8934.8927
2611,244000,9104.3915
2631,246000,9422.8211
2651,248000,9023.3508
2672,250000,6282.513
2693,252000,6355.6465
2716,254000,9277.7206
2739,256000,9014.9808
2760,258000,7748.1065
2782,260000,1469.6542
2806,262000,7904.2595
2828,264000,8499.3407
2848,266000,6821.8364
2869,268000,8571.1569
2890,270000,9501.8789
2912,272000,8946.0601
2933,274000,1644.5306
2952,276000,6188.3108
2972,278000,8896.5752
2994,280000,8445.6995
3011,282000,9376.2379
3031,284000,8773.1107
3054,286000,8805.4738
3077,288000,8993.7458
3096,290000,9402.3982
3116,292000,8689.7005
3132,294000,9879.797
3150,296000,8978.0978
3172,298000,2684.1994
3193,300000,7121.8703
3214,302000,5265.7921
3235,304000,9505.452
3255,306000,4236.7586
3275,308000,9897.7578
3295,310000,9952.2437
3318,312000,8936.1377
3338,314000,-824.0038
3359,316000,6562.0116
3380,318000,9338.256
3403,320000,7651.5569
3423,322000,7368.5319
3445,324000,9220.3286
3468,326000,9788.5104
3490,328000,9347.8967
3511,330000,8976.7516
3531,332000,6128.7276
3550,334000,9826.0813
3569,336000,9853.9008
3589,338000,9027.1697
3611,340000,6881.2983
3631,342000,7709.7883
3654,344000,9319.0093
3675,346000,8479.3505
3696,348000,9360.9657
3720,350000,8615.5375
3745,352000,8306.1682
3767,354000,9105.5144
3788,356000,9418.2924
3809,358000,9375.1597
3830,360000,8700.5967
3848,362000,9594.5204
3866,364000,10074.1692
3885,366000,9936.6864
3904,368000,9781.8941
3927,370000,9392.1689
3949,372000,5985.2786
3972,374000,7630.0176
3995,376000,7416.8797
4021,378000,7830.99
4043,380000,8792.3221
4066,382000,8963.734
4086,384000,9332.2703
4108,386000,9325.521
4130,388000,2964.2067
4153,390000,1181.6102
4178,392000,7877.876
4201,394000,8193.3793
4226,396000,-182.6971
4249,398000,8618.1278
4274,400000,8665.1102
4299,402000,8320.3042
4323,404000,8347.3797
4345,406000,2750.7569
4367,408000,5979.9676
4392,410000,8599.3264
4415,412000,8368.8025
4436,414000,5039.0285
4459,416000,7388.6676
4483,418000,8679.2603
4507,420000,8757.0797
4530,422000,4932.4872
4552,424000,9621.4725
4574,426000,9228.4103
4596,428000,2604.2991
4618,430000,3814.8043
4639,432000,4623.9081
4660,434000,9687.4613
4679,436000,9553.5402
4701,438000,7329.8683
4721,440000,7761.6324
4740,442000,9936.2995
4762,444000,7946.0166
4784,446000,8363.2414
4807,448000,7912.2088
4827,450000,132.8176
4845,452000,4527.8546
4865,454000,9391.1762
4888,456000,1729.6634
4909,458000,8794.7297
4930,460000,9138.895
4950,462000,9620.4131
4973,464000,5699.442
4992,466000,9945.5123
5011,468000,9442.949
5032,470000,6126.9246
5051,472000,8382.3806
5071,474000,9742.4992
5091,476000,9535.6467
5113,478000,9383.0629
5131,480000,-3171.9775
5151,482000,9510.6906
5170,484000,8231.1283
5189,486000,10162.7715
5207,488000,9785.4541
5226,490000,9259.3165
5246,492000,9401.5746
5266,494000,9040.8687
5285,496000,9379.3471
5306,498000,6583.4786
5326,500000,9404.4375
5346,502000,9310.1805
5368,504000,9545.2776
5387,506000,9233.3638
5409,508000,8896.9832
5433,510000,9179.6966
5454,512000,8285.5306
5474,514000,9544.7096
5493,516000,7624.8112
5510,518000,6928.6373
5525,520000,9821.514
5543,522000,9596.2481
5559,524000,9506.2625
5574,526000,9903.5429
5590,528000,9244.903
5608,530000,9449.8178
5625,532000,9704.1087
5642,534000,9394.2292
5659,536000,9662.7305
5679,538000,-2044.8124
5694,540000,2771.8928
5711,542000,8777.0717
5724,544000,8919.821
5742,546000,9087.7623
5763,548000,8816.7311
5782,550000,9471.7898
5805,552000,8350.9569
5828,554000,8451.2084
5845,556000,8780.5522
5863,558000,8773.5356
5880,560000,8559.6952
5900,562000,8509.8232
5921,564000,3469.2782
5939,566000,9090.9552
5960,568000,8777.1334
5978,570000,-915.4636
5998,572000,9155.5013
6019,574000,9390.1842
6040,576000,8875.1894
6058,578000,7443.2283
6079,580000,9471.4284
6100,582000,6522.6832
6119,584000,9557.5275
6138,586000,666.9444
6158,588000,9327.0842
6173,590000,8091.9853
6192,592000,9292.8583
6210,594000,9788.2527
6228,596000,9483.4652
6243,598000,9373.4983
6258,600000,8665.9044
6275,602000,8955.0135
6294,604000,9016.8834
6312,606000,9280.5675
6328,608000,9267.3885
6346,610000,9395.5489
6362,612000,9049.3683
6379,614000,9202.0482
6397,616000,8721.403
6414,618000,9466.8471
