episode,timestep,reward
31,2000,411.9311
51,4000,704.2684
70,6000,720.4248
86,8000,875.2225
104,10000,863.3586
123,12000,879.5695
146,14000,735.8734
169,16000,716.8136
188,18000,870.5574
202,20000,799.5475
223,22000,734.3054
249,24000,591.6855
277,26000,518.1749
301,28000,646.8587
323,30000,710.2725
346,32000,617.9414
370,34000,608.5807
391,36000,687.3075
409,38000,728.4084
427,40000,796.333
451,42000,649.48
474,44000,723.1165
494,46000,800.7857
515,48000,820.4447
538,50000,697.0828
555,52000,779.3633
573,54000,852.941
593,56000,858.4137
616,58000,692.6671
639,60000,686.9844
662,62000,728.7221
682,64000,789.6916
702,66000,761.8804
721,68000,764.4255
740,70000,703.998
758,72000,677.3149
776,74000,776.133
794,76000,870.4677
812,78000,863.093
834,80000,776.1467
854,82000,772.3361
874,84000,828.8713
896,86000,805.0784
915,88000,760.6769
932,90000,840.5518
952,92000,883.0725
971,94000,908.8372
990,96000,916.7611
1008,98000,968.6841
1025,100000,904.4319
1046,102000,903.4141
1067,104000,790.1807
1088,106000,789.843
1109,108000,752.0763
1131,110000,748.1861
1151,112000,852.8759
1173,114000,818.4622
1193,116000,787.9866
1215,118000,887.9278
1238,120000,766.2713
1262,122000,782.0749
1283,124000,884.2619
1305,126000,831.6133
1327,128000,824.5543
1347,130000,842.2488
1370,132000,794.2648
1391,134000,897.1393
1408,136000,1019.8805
1430,138000,909.4044
1451,140000,886.9125
1472,142000,931.3332
1493,144000,766.2973
1511,146000,930.0429
1532,148000,879.007
1552,150000,882.8354
1575,152000,786.7073
1595,154000,856.2393
1613,156000,845.2129
1633,158000,924.2321
1654,160000,834.5912
1675,162000,885.5577
1696,164000,867.9605
1717,166000,869.3487
1736,168000,904.3851
1754,170000,998.1389
1775,172000,881.7213
1796,174000,920.1568
1816,176000,942.297
1839,178000,857.5237
1859,180000,883.428
1881,182000,867.6722
1902,184000,806.9184
1924,186000,874.8275
1948,188000,767.4882
1969,190000,875.1884
1989,192000,907.2408
2008,194000,883.5464
2025,196000,896.1188
2046,198000,917.4701
2070,200000,828.9707
2094,202000,831.01
2116,204000,830.6162
2136,206000,889.9379
2157,208000,857.3662
2178,210000,901.6341
2198,212000,904.5408
2219,214000,916.7866
2242,216000,763.3716
2261,218000,849.8699
2282,220000,865.1669
2304,222000,838.938
2322,224000,879.429
2342,226000,861.3813
2361,228000,969.4266
2384,230000,827.5137
2408,232000,787.4891
2430,234000,874.1669
2453,236000,792.0017
2476,238000,841.1854
2497,240000,922.6484
2518,242000,899.5143
2537,244000,875.1584
2560,246000,791.676
2582,248000,857.1011
2602,250000,881.5884
2622,252000,867.9336
2644,254000,819.0442
