episode,timestep,reward
30,2000,355.652
53,4000,789.7304
69,6000,920.886
82,8000,913.5942
93,10000,927.6163
105,12000,948.9546
115,14000,903.3661
126,16000,886.5848
138,18000,781.5827
149,20000,923.1701
158,22000,972.5517
166,24000,907.9013
174,26000,973.1971
183,28000,947.3111
193,30000,884.2089
202,32000,961.8845
211,34000,911.0162
221,36000,987.4349
232,38000,979.3664
241,40000,957.8688
250,42000,999.4738
260,44000,1007.6536
270,46000,894.93
280,48000,923.7809
290,50000,920.0467
302,52000,886.4622
312,54000,978.6068
322,56000,989.7641
332,58000,962.1987
340,60000,964.401
349,62000,947.7341
358,64000,985.1823
368,66000,913.2088
379,68000,906.5793
389,70000,988.5258
399,72000,934.1947
410,74000,956.9833
422,76000,925.6276
433,78000,886.779
443,80000,857.6623
455,82000,853.5211
467,84000,846.0828
479,86000,815.4129
490,88000,859.8723
504,90000,804.9544
518,92000,797.7186
532,94000,732.4232
546,96000,835.4872
558,98000,809.8108
570,100000,866.688
585,102000,793.3146
601,104000,758.2619
619,106000,740.2016
634,108000,776.5106
651,110000,744.6791
667,112000,714.1466
683,114000,720.9381
700,116000,729.102
718,118000,674.5928
736,120000,751.2706
752,122000,721.7776
768,124000,775.1415
786,126000,775.1943
802,128000,831.5118
820,130000,871.9576
839,132000,842.8944
854,134000,876.1671
867,136000,943.2106
881,138000,917.977
895,140000,912.857
913,142000,846.4409
932,144000,856.0516
951,146000,810.3338
969,148000,895.1669
984,150000,914.9882
1000,152000,892.5037
1016,154000,906.4946
1033,156000,951.3307
1050,158000,921.3473
1069,160000,836.6122
1088,162000,921.9255
1106,164000,916.1206
1123,166000,917.3426
1142,168000,818.7823
1160,170000,905.2633
1176,172000,971.35
1190,174000,966.1087
1207,176000,937.2006
1227,178000,896.0371
1245,180000,927.2227
1261,182000,923.6926
1277,184000,963.4918
1295,186000,922.4982
1314,188000,885.9246
1335,190000,862.4699
1354,192000,829.733
1372,194000,938.3859
1391,196000,913.0264
1407,198000,916.6068
1420,200000,913.7885
1436,202000,971.4487
1453,204000,891.4929
1469,206000,926.9651
1483,208000,929.0271
1501,210000,870.6166
1519,212000,934.405
1536,214000,865.865
1555,216000,904.7428
1575,218000,868.764
1592,220000,903.4396
1613,222000,875.6873
1630,224000,892.2343
1647,226000,909.6688
1664,228000,985.1164
1680,230000,912.7581
1698,232000,894.8288
1714,234000,970.6247
1731,236000,913.3992
1751,238000,797.8545
1767,240000,910.5444
1784,242000,938.5272
1803,244000,889.6415
1820,246000,873.021
1839,248000,917.7361
1858,250000,903.0357
1876,252000,847.4416
1897,254000,827.0915
1917,256000,895.8887
1936,258000,895.5619
1952,260000,940.2735
1970,262000,926.8424
1988,264000,917.4725
2007,266000,915.452
2023,268000,906.2618
2040,270000,882.4075
2054,272000,950.8041
2071,274000,984.8831
2088,276000,926.8627
2103,278000,946.616
2118,280000,987.4342
2134,282000,1000.6782
2155,284000,891.1622
2173,286000,946.4799
2189,288000,971.9777
2205,290000,1000.7481
2220,292000,939.2777
2237,294000,957.353
2259,296000,873.119
2278,298000,856.5002
2297,300000,791.2233
2316,302000,871.0599
2333,304000,911.494
2354,306000,962.7333
2376,308000,912.9316
2397,310000,876.9468
2415,312000,872.3139
2434,314000,927.3489
2452,316000,934.1267
2470,318000,978.0797
2488,320000,1006.416
2505,322000,1008.5177
2520,324000,1049.2536
2536,326000,1015.0502
2552,328000,984.2898
2569,330000,981.2973
2587,332000,963.814
2607,334000,921.9503
2628,336000,842.173
2649,338000,869.4345
2666,340000,893.0212
2685,342000,907.231
2703,344000,978.7179
2722,346000,835.5885
2740,348000,904.4201
2755,350000,976.0487
2772,352000,923.9548
2791,354000,970.3883
2806,356000,1006.7885
2820,358000,1041.435
2840,360000,918.8725
2860,362000,874.2893
2880,364000,938.3185
2896,366000,1024.3721
2913,368000,1008.0072
2930,370000,952.7836
2946,372000,962.8576
2961,374000,945.6894
2979,376000,890.3918
2998,378000,905.3476
3016,380000,887.3716
3032,382000,910.7456
3050,384000,894.0276
3068,386000,866.773
3083,388000,953.4183
3103,390000,966.3824
3122,392000,891.3053
3141,394000,895.9514
3159,396000,873.9586
3177,398000,912.5895
3198,400000,837.2646
3218,402000,899.4163
3238,404000,881.3808
3258,406000,877.5968
3277,408000,942.5759
3296,410000,931.9328
3315,412000,974.1705
3334,414000,978.5788
3352,416000,1008.1324
3371,418000,939.1652
3388,420000,936.3751
3405,422000,899.546
3425,424000,819.695
3444,426000,821.8691
3463,428000,893.0978
3482,430000,894.3017
3501,432000,881.6336
3522,434000,838.3674
3540,436000,922.7453
3555,438000,1005.5774
3572,440000,942.1608
3590,442000,970.6693
3605,444000,1001.034
3622,446000,901.4407
3639,448000,957.86
3656,450000,1008.2831
3675,452000,955.6367
3691,454000,987.9502
3709,456000,985.0006
