episode,timestep,reward
24,2000,472.6178
34,4000,695.4753
41,6000,605.2225
47,8000,592.5812
54,10000,640.1385
61,12000,608.9771
65,14000,596.7923
71,16000,739.6592
76,18000,672.5054
82,20000,701.6715
88,22000,730.9557
93,24000,791.5013
99,26000,744.5775
105,28000,704.3434
111,30000,764.4715
116,32000,661.1181
122,34000,694.3984
128,36000,688.4456
134,38000,609.5741
141,40000,529.2215
149,42000,620.7664
157,44000,552.2361
164,46000,576.5731
170,48000,611.352
177,50000,638.2874
184,52000,680.445
191,54000,676.6586
197,56000,672.7041
202,58000,769.2617
208,60000,734.4847
215,62000,629.1769
221,64000,763.4846
228,66000,723.3363
236,68000,701.0227
241,70000,752.3172
247,72000,802.2153
254,74000,767.7019
261,76000,774.3522
268,78000,716.4297
275,80000,711.5167
283,82000,669.2521
292,84000,631.9696
299,86000,746.3057
307,88000,716.0883
316,90000,650.0103
325,92000,662.7185
334,94000,651.9703
344,96000,628.349
353,98000,644.5524
362,100000,691.784
373,102000,666.2567
382,104000,640.7382
393,106000,645.4005
402,108000,658.1914
411,110000,667.0267
419,112000,703.5138
430,114000,666.6271
440,116000,673.2689
449,118000,726.2599
459,120000,695.9302
469,122000,678.3457
479,124000,745.37
490,126000,716.9553
500,128000,751.1641
511,130000,738.1849
522,132000,666.1481
533,134000,711.31
545,136000,664.5625
558,138000,643.9589
570,140000,662.1588
581,142000,685.1418
592,144000,702.6962
604,146000,695.8299
615,148000,676.1608
627,150000,663.0954
638,152000,659.9195
648,154000,708.1958
661,156000,675.2188
675,158000,597.7023
689,160000,610.8799
702,162000,630.1904
714,164000,637.9429
727,166000,713.3639
740,168000,694.7137
751,170000,717.0288
762,172000,731.5822
774,174000,702.5271
787,176000,667.2772
800,178000,662.2996
812,180000,612.1889
827,182000,631.5734
841,184000,631.3714
854,186000,611.3995
867,188000,664.9868
879,190000,655.1979
892,192000,705.7049
905,194000,679.0096
917,196000,698.8288
930,198000,720.0494
943,200000,715.6763
958,202000,659.2391
