episode,timestep,reward
5,400,423.1896
10,800,454.6438
14,1200,533.7892
18,1600,621.4033
22,2000,473.4066
26,2400,485.5315
29,2800,396.7544
31,3200,802.435
35,3600,425.1157
37,4000,571.5969
40,4400,705.0091
44,4800,242.3018
46,5200,296.6981
49,5600,361.0718
51,6000,468.4533
54,6400,187.7482
56,6800,270.0357
59,7200,1334.2516
62,7600,1533.1644
65,8000,450.3051
67,8400,1138.3353
69,8800,1060.3736
72,9200,567.5185
74,9600,1028.2454
77,10000,853.421
79,10400,1042.1349
81,10800,1912.5053
84,11200,950.1888
86,11600,251.1679
89,12000,942.2044
91,12400,2459.456
93,12800,1972.3463
95,13200,1130.3615
97,13600,1162.882
100,14000,501.8901
102,14400,2546.1001
104,14800,2220.251
106,15200,1265.4941
108,15600,1194.6119
111,16000,2162.1811
113,16400,1319.8359
115,16800,3041.5578
117,17200,2787.9525
119,17600,2373.1204
121,18000,1407.8345
124,18400,1871.9175
126,18800,2740.9034
128,19200,3007.0366
131,19600,1064.0226
133,20000,994.7595
135,20400,3244.2343
137,20800,2888.6831
139,21200,3630.9561
141,21600,3177.6588
143,22000,1072.8227
145,22400,3015.9737
148,22800,1068.6626
150,23200,3568.856
152,23600,2337.1583
154,24000,902.5752
156,24400,3176.4544
158,24800,3320.0659
160,25200,994.7318
162,25600,1834.5789
164,26000,1936.564
166,26400,2674.9566
168,26800,3696.5146
170,27200,1866.2175
172,27600,1628.9928
174,28000,1737.3399
176,28400,1103.1385
178,28800,2321.8752
180,29200,1174.7967
182,29600,4296.6395
185,30000,1848.495
187,30400,424.2556
189,30800,1231.3752
191,31200,2177.1124
194,31600,1681.8166
196,32000,269.6819
198,32400,2453.4894
200,32800,832.0296
202,33200,787.3118
204,33600,3695.7329
206,34000,2198.5292
208,34400,1919.3264
210,34800,1820.4296
212,35200,2716.8227
214,35600,1486.5085
216,36000,1251.7689
218,36400,2540.3516
220,36800,2136.0791
222,37200,256.0355
224,37600,859.7312
226,38000,3269.6403
228,38400,1926.5945
230,38800,1938.7761
232,39200,1008.4666
234,39600,2982.6524
236,40000,261.6696
238,40400,2481.2041
240,40800,1871.0383
242,41200,1188.9786
244,41600,1314.6314
246,42000,2651.5543
248,42400,3785.8032
250,42800,2600.3327
252,43200,1436.4431
254,43600,1746.9383
256,44000,2186.6376
258,44400,1149.1124
260,44800,2015.0968
262,45200,509.1522
264,45600,2604.5251
266,46000,2502.6221
268,46400,2355.7753
271,46800,1693.3166
273,47200,555.8278
275,47600,1449.2145
277,48000,412.3976
279,48400,1227.1442
281,48800,3700.8975
283,49200,1634.3855
285,49600,399.4471
287,50000,2878.4822
289,50400,2150.9362
291,50800,4364.0816
293,51200,1160.5403
295,51600,281.3961
297,52000,3415.218
299,52400,1973.1751
301,52800,1119.3796
303,53200,2363.6791
305,53600,2186.622
307,54000,3464.4032
309,54400,698.1606
311,54800,1421.5362
313,55200,1782.6034
315,55600,2802.0958
317,56000,779.0275
319,56400,404.7813
321,56800,2101.7133
323,57200,595.4029
325,57600,1796.7036
327,58000,2416.391
329,58400,1495.7054
331,58800,312.1012
333,59200,2139.4713
335,59600,412.7086
337,60000,2527.1281
339,60400,407.7828
341,60800,1307.7702
343,61200,2699.0469
345,61600,700.9768
347,62000,1281.107
349,62400,591.4118
351,62800,833.2851
353,63200,3271.1395
355,63600,2280.3806
357,64000,2901.0678
359,64400,2415.1197
361,64800,1366.7634
363,65200,2772.2432
365,65600,729.0977
367,66000,1638.3189
369,66400,499.7594
371,66800,656.7012
373,67200,1851.7701
375,67600,2484.9079
377,68000,925.8598
379,68400,2479.8534
381,68800,403.176
383,69200,2093.1475
385,69600,1780.7344
387,70000,2256.2854
389,70400,1309.2596
391,70800,2383.1593
393,71200,2330.7828
395,71600,1785.056
398,72000,2295.6096
400,72400,2956.6061
402,72800,2470.4446
404,73200,1703.4691
406,73600,1120.9292
408,74000,1060.4091
410,74400,4253.25
412,74800,3042.224
414,75200,2478.1335
416,75600,1574.9542
418,76000,2816.3666
420,76400,388.5812
422,76800,2289.3334
424,77200,848.081
426,77600,1125.2061
428,78000,2487.3419
430,78400,2439.0566
432,78800,2221.4473
434,79200,905.5987
436,79600,1331.5351
438,80000,2242.2528
440,80400,3021.0906
442,80800,2025.172
444,81200,1818.4247
446,81600,2057.9368
448,82000,1131.4752
450,82400,401.2646
452,82800,546.9172
454,83200,1526.2621
456,83600,1191.9265
458,84000,967.5768
460,84400,664.003
462,84800,879.4461
464,85200,1860.9319
