episode,timestep,reward
34,2000,97.3251
67,4000,130.7344
99,6000,134.0985
130,8000,153.9506
161,10000,176.8577
192,12000,163.2713
223,14000,153.4664
255,16000,152.6671
288,18000,168.241
321,20000,172.1625
352,22000,185.4363
383,24000,184.521
414,26000,186.1969
444,28000,191.3214
474,30000,193.8342
506,32000,197.3263
536,34000,196.6856
564,36000,214.5163
592,38000,214.2003
623,40000,204.4558
653,42000,211.4788
682,44000,204.4917
712,46000,217.4023
742,48000,202.2889
772,50000,214.6851
801,52000,218.5817
828,54000,224.558
858,56000,209.5095
887,58000,213.7936
914,60000,221.4872
942,62000,216.0502
970,64000,230.118
998,66000,223.0601
1029,68000,216.207
1054,70000,239.2398
1080,72000,231.7619
1106,74000,220.9008
1136,76000,205.6549
1167,78000,189.2886
1199,80000,180.4509
1231,82000,167.9101
1262,84000,175.9366
1294,86000,177.8156
1326,88000,170.7985
1358,90000,180.4496
1388,92000,183.0705
1417,94000,196.1053
1450,96000,180.8425
1483,98000,190.5537
1515,100000,183.1894
1548,102000,181.0853
