episode,timestep,reward
33,2000,501.9717
64,4000,701.6034
97,6000,600.5677
128,8000,600.7832
159,10000,648.2641
190,12000,630.2233
221,14000,645.536
253,16000,596.8136
283,18000,713.3927
311,20000,717.024
340,22000,744.5921
368,24000,786.6264
396,26000,849.4081
422,28000,856.1518
450,30000,788.1887
479,32000,708.5719
507,34000,704.4917
536,36000,707.669
568,38000,599.9925
598,40000,642.8374
630,42000,621.708
661,44000,669.9903
691,46000,678.4823
721,48000,707.0256
750,50000,708.1479
774,52000,755.2994
800,54000,763.5248
828,56000,757.4842
