episode,timestep,reward
34,2000,136.7638
69,4000,139.8685
103,6000,144.746
140,8000,139.893
175,10000,148.2037
210,12000,148.1329
244,14000,149.1947
278,16000,152.2959
310,18000,155.2597
340,20000,157.8539
370,22000,158.4807
401,24000,156.1006
431,26000,157.8935
460,28000,162.982
491,30000,161.575
521,32000,161.5447
552,34000,159.4171
585,36000,157.8873
616,38000,154.6093
647,40000,160.1342
679,42000,156.6801
708,44000,160.322
737,46000,159.4718
765,48000,162.4663
794,50000,163.6295
822,52000,167.4769
849,54000,167.7549
876,56000,168.5528
904,58000,170.5053
931,60000,170.5346
961,62000,163.1359
992,64000,158.0919
1023,66000,157.7318
1053,68000,164.4443
1083,70000,164.8446
1115,72000,161.958
1147,74000,160.6265
1177,76000,163.0255
1207,78000,167.9908
1236,80000,173.047
1264,82000,171.5784
1292,84000,175.5325
1320,86000,174.1655
1348,88000,173.457
1374,90000,176.5297
1400,92000,180.8811
1426,94000,182.3768
1451,96000,182.6645
1476,98000,181.1477
