episode,timestep,reward
34,2000,140.5411
68,4000,141.9002
102,6000,143.8832
134,8000,151.5202
164,10000,148.8099
195,12000,149.0529
227,14000,155.6821
258,16000,155.6568
291,18000,153.2123
321,20000,155.1826
352,22000,150.1822
382,24000,153.2908
413,26000,148.7089
443,28000,153.9577
473,30000,158.8763
502,32000,162.3705
531,34000,167.4216
558,36000,171.9282
587,38000,161.8978
614,40000,168.8323
640,42000,169.3051
669,44000,164.6803
699,46000,163.3118
728,48000,166.7903
756,50000,170.2323
785,52000,168.2974
814,54000,168.231
842,56000,169.5323
870,58000,171.7959
897,60000,171.2647
924,62000,176.7106
951,64000,174.7833
977,66000,177.1624
1004,68000,175.8163
1031,70000,173.4703
1058,72000,177.1263
1085,74000,178.8587
1111,76000,182.2404
1137,78000,179.6445
1164,80000,179.4784
1191,82000,178.9655
1220,84000,173.7409
1249,86000,171.0831
1276,88000,180.0392
1303,90000,181.0127
1329,92000,183.0063
1355,94000,182.0267
1380,96000,182.6942
1406,98000,178.4662
1433,100000,178.9771
1460,102000,182.0719
1486,104000,180.5439
1512,106000,184.6534
1539,108000,179.7207
1566,110000,179.2281
1592,112000,180.4058
1619,114000,178.3135
1645,116000,179.7925
1672,118000,182.2471
1697,120000,185.4882
1723,122000,185.1536
1749,124000,187.0246
1775,126000,187.1178
1800,128000,186.8069
1825,130000,188.0276
1850,132000,183.618
1874,134000,186.29
1896,136000,193.3101
1920,138000,187.4785
1943,140000,189.5687
1966,142000,194.2147
