episode,timestep,reward
44,2000,67.1635
76,4000,92.3549
103,6000,115.9187
132,8000,111.2096
163,10000,113.0512
191,12000,133.8402
223,14000,121.0564
251,16000,130.3444
282,18000,129.0788
313,20000,135.3389
347,22000,133.929
381,24000,130.3773
415,26000,136.325
449,28000,147.5761
483,30000,146.892
517,32000,149.9324
551,34000,150.0834
584,36000,153.0869
618,38000,143.1502
651,40000,153.556
684,42000,151.8622
716,44000,149.5824
749,46000,149.7373
781,48000,151.1934
812,50000,154.653
845,52000,150.6404
876,54000,150.4057
909,56000,152.3881
940,58000,149.6064
972,60000,151.6817
1004,62000,151.6861
1036,64000,145.9582
1067,66000,153.1101
1099,68000,147.9476
1132,70000,147.0721
1165,72000,153.5424
1197,74000,153.2459
1229,76000,145.2787
1261,78000,152.2762
1295,80000,141.4154
1326,82000,144.4027
1357,84000,155.415
1387,86000,154.1575
1420,88000,148.1913
1453,90000,151.2301
1484,92000,152.1812
1515,94000,154.1736
1546,96000,152.7519
1578,98000,153.6914
1611,100000,150.0557
1645,102000,149.8256
1678,104000,150.4765
1712,106000,143.7072
1745,108000,151.8624
1778,110000,152.0072
1813,112000,147.7129
1846,114000,148.1111
1879,116000,148.1933
1912,118000,154.9584
1944,120000,153.6209
1977,122000,153.3102
2009,124000,150.6409
2043,126000,150.7323
2076,128000,155.8469
2108,130000,154.7351
2141,132000,153.7046
2174,134000,153.9119
2204,136000,155.6892
2238,138000,152.4427
2269,140000,155.0466
2302,142000,154.617
2335,144000,153.4564
2368,146000,154.5064
2400,148000,154.7859
2432,150000,154.0777
2465,152000,154.0347
2497,154000,152.644
2531,156000,152.0854
2562,158000,155.7446
2594,160000,154.7521
2627,162000,155.7076
2660,164000,152.3159
2694,166000,150.6636
2727,168000,153.5159
2760,170000,154.8266
2794,172000,151.084
2827,174000,156.2227
2859,176000,154.6092
2892,178000,151.7099
2926,180000,152.3918
2959,182000,152.8893
2991,184000,154.3162
3024,186000,152.9431
3056,188000,154.8261
3089,190000,152.0057
3122,192000,152.9819
3156,194000,149.2107
3190,196000,152.6016
3223,198000,150.4301
3256,200000,154.6576
3288,202000,154.9732
3321,204000,154.2319
3354,206000,155.2003
3386,208000,155.4233
3419,210000,157.3505
3451,212000,156.0612
3482,214000,156.1707
3515,216000,154.732
3547,218000,150.9577
3580,220000,149.6881
3614,222000,146.2138
3646,224000,149.4003
3679,226000,150.9965
3711,228000,155.2296
3743,230000,155.9213
3775,232000,155.7077
3807,234000,156.0044
3838,236000,156.9531
3871,238000,156.4693
3903,240000,156.4542
3934,242000,156.3604
3966,244000,155.4542
3998,246000,154.9283
4030,248000,154.9168
4062,250000,158.5926
4094,252000,155.0393
4126,254000,155.6614
4158,256000,158.1399
4189,258000,156.7358
4221,260000,156.2678
4251,262000,157.6374
4282,264000,155.3188
4313,266000,158.5649
4345,268000,154.8832
4378,270000,155.6141
4410,272000,154.787
4442,274000,157.556
4474,276000,155.0692
4505,278000,156.3041
4537,280000,153.7718
4568,282000,157.8212
4600,284000,156.0054
4633,286000,157.0051
4665,288000,159.1933
4697,290000,158.6668
4729,292000,157.6808
4761,294000,154.5607
4794,296000,157.7361
4824,298000,156.817
4854,300000,160.5454
4886,302000,157.696
4918,304000,157.0034
4949,306000,158.8725
4981,308000,157.249
5013,310000,155.0396
5045,312000,155.8755
5077,314000,154.9104
5109,316000,157.8904
5142,318000,154.3871
5174,320000,154.3884
5206,322000,159.6893
5237,324000,157.25
5268,326000,158.8429
5299,328000,154.7865
5328,330000,157.6694
5357,332000,162.078
5386,334000,163.4347
5416,336000,163.8056
5446,338000,162.4659
5476,340000,161.4657
5508,342000,159.0163
5538,344000,159.4427
5570,346000,155.4525
5599,348000,161.1339
5629,350000,164.0515
5659,352000,161.0421
5689,354000,160.8933
5719,356000,161.9439
5751,358000,159.2148
5782,360000,160.6547
5812,362000,162.0822
5842,364000,161.0411
5873,366000,161.6103
5905,368000,157.5073
5936,370000,158.0664
5966,372000,162.236
5994,374000,168.8259
6024,376000,161.3131
6054,378000,163.3963
6084,380000,163.2457
6116,382000,159.8123
6145,384000,164.8157
6175,386000,164.8501
6205,388000,166.0203
6234,390000,164.6161
6263,392000,167.1021
6292,394000,166.3972
6322,396000,165.2647
6351,398000,165.6648
6377,400000,175.0874
6404,402000,168.5425
6432,404000,171.5115
6460,406000,173.6559
6489,408000,170.8392
6517,410000,177.7826
6544,412000,179.1705
6571,414000,180.4501
6601,416000,172.0703
6630,418000,171.6719
6660,420000,168.5665
6689,422000,172.2305
6717,424000,175.9647
6743,426000,182.6948
6770,428000,182.8555
6797,430000,178.9235
6824,432000,178.7976
6851,434000,176.9532
6879,436000,177.6378
6905,438000,183.0929
6932,440000,178.6975
6961,442000,177.5814
6988,444000,182.1077
7015,446000,180.2574
7043,448000,180.052
7069,450000,184.0864
7097,452000,185.0318
7125,454000,175.8862
7152,456000,181.8651
7178,458000,184.0731
7205,460000,181.9171
7233,462000,180.1511
7260,464000,183.3853
7286,466000,184.8612
7313,468000,188.0689
7339,470000,183.8956
7365,472000,186.8926
7393,474000,181.9329
7420,476000,184.9807
7447,478000,184.0786
7475,480000,179.2768
7503,482000,175.3283
7531,484000,181.444
7557,486000,188.2442
7585,488000,185.2487
7611,490000,182.9395
7638,492000,183.9006
7665,494000,185.4734
7692,496000,185.0479
7719,498000,184.501
7746,500000,187.4926
7773,502000,186.0839
7800,504000,185.1802
7827,506000,186.5424
7853,508000,188.3053
7880,510000,189.6126
7907,512000,186.0197
7934,514000,186.221
7962,516000,185.5447
7989,518000,188.2586
8017,520000,183.3707
8045,522000,181.9757
8073,524000,178.733
8101,526000,177.6586
8128,528000,189.2799
8156,530000,181.1104
8184,532000,184.8585
8212,534000,183.5446
8240,536000,184.4731
8267,538000,185.4911
8295,540000,186.1935
8321,542000,192.1816
8347,544000,191.5213
8373,546000,189.4246
8399,548000,190.8147
8425,550000,186.6281
