episode,timestep,reward
31,2000,348.4845
58,4000,564.7133
79,6000,785.5726
101,8000,743.4411
120,10000,727.1471
138,12000,927.1165
154,14000,872.0524
168,16000,910.5678
186,18000,833.3446
209,20000,653.9232
235,22000,593.0287
256,24000,675.7754
274,26000,848.1166
292,28000,829.3411
314,30000,670.5132
336,32000,679.1419
358,34000,741.9505
378,36000,738.1368
399,38000,700.6368
418,40000,708.941
435,42000,751.1071
451,44000,850.1399
467,46000,797.6539
484,48000,831.9589
503,50000,865.2406
525,52000,671.5916
548,54000,739.001
569,56000,758.6042
590,58000,815.0126
609,60000,769.5413
627,62000,863.1357
647,64000,885.4907
668,66000,791.2122
690,68000,798.1209
710,70000,875.2984
732,72000,814.6343
753,74000,776.4989
773,76000,872.8914
792,78000,927.4602
814,80000,855.0648
836,82000,802.7962
