episode,timestep,reward
17,2000,1821.4815
35,4000,1819.3001
52,6000,1845.8227
69,8000,1855.3138
86,10000,1889.9655
104,12000,1879.409
121,14000,1872.3672
138,16000,1901.7333
155,18000,1923.7524
172,20000,1941.4118
189,22000,1917.281
206,24000,1902.8465
223,26000,1913.1873
240,28000,1930.3787
257,30000,1921.3737
274,32000,1924.2223
291,34000,1889.8869
308,36000,1906.3719
325,38000,1862.6842
342,40000,1886.5399
359,42000,1880.4501
376,44000,1870.4216
393,46000,1875.2108
410,48000,1869.1192
427,50000,1861.9523
444,52000,1872.3886
460,54000,1852.3769
478,56000,1801.8225
494,58000,1840.187
511,60000,1821.4772
527,62000,1835.4011
544,64000,1775.6581
560,66000,1779.3993
576,68000,1709.8604
593,70000,1744.4792
608,72000,1758.1933
624,74000,1737.8397
641,76000,1736.382
658,78000,1646.9741
675,80000,1669.5595
692,82000,1662.4215
709,84000,1690.5013
725,86000,1705.7381
741,88000,1754.8373
758,90000,1737.8586
775,92000,1716.3133
792,94000,1697.3405
809,96000,1695.5089
826,98000,1729.8838
844,100000,1677.0133
861,102000,1720.4987
879,104000,1653.4012
896,106000,1693.1785
914,108000,1681.7151
932,110000,1713.9451
950,112000,1718.3275
968,114000,1737.8013
985,116000,1765.3935
1002,118000,1780.0263
1020,120000,1831.6275
1038,122000,1831.4472
1055,124000,1887.5555
1072,126000,1870.0466
1090,128000,1831.6882
1107,130000,1879.5275
1125,132000,1870.5438
1143,134000,1914.5814
1161,136000,1886.8747
1178,138000,1892.9377
