episode,timestep,reward
35,2000,430.9268
73,4000,458.0411
110,6000,457.752
147,8000,496.6471
186,10000,450.9896
225,12000,449.3963
264,14000,440.6366
303,16000,438.8942
342,18000,461.0352
382,20000,440.7424
421,22000,417.2664
459,24000,467.2724
497,26000,465.4132
535,28000,477.8183
572,30000,514.925
608,32000,512.5592
644,34000,517.2442
679,36000,514.0885
715,38000,518.2594
751,40000,548.1996
785,42000,597.2964
820,44000,575.3563
855,46000,598.4386
890,48000,597.6208
924,50000,614.2129
957,52000,613.4488
991,54000,617.5597
1024,56000,635.7719
1057,58000,641.924
1089,60000,659.6155
1123,62000,614.1551
1155,64000,650.9295
1188,66000,661.8917
1222,68000,632.468
1256,70000,611.6424
