episode,timestep,reward
32,2000,352.5471
53,4000,675.4744
69,6000,880.6267
80,8000,915.7178
91,10000,872.7468
102,12000,937.8104
113,14000,868.5799
126,16000,875.3666
140,18000,774.3377
156,20000,713.9828
174,22000,716.1996
193,24000,652.9613
208,26000,711.3194
218,28000,836.2792
230,30000,772.6575
243,32000,767.9505
256,34000,822.5051
269,36000,781.8225
285,38000,730.6622
300,40000,692.7154
317,42000,657.4755
333,44000,648.0886
347,46000,664.0138
363,48000,612.9699
379,50000,622.7484
393,52000,673.7749
406,54000,707.5222
419,56000,782.1022
432,58000,734.0092
448,60000,759.619
463,62000,697.9194
481,64000,758.5503
495,66000,798.3853
511,68000,807.9599
528,70000,705.0186
539,72000,719.5536
554,74000,727.2673
567,76000,721.1208
581,78000,670.0331
598,80000,718.4029
614,82000,736.5366
630,84000,729.9206
647,86000,776.9507
667,88000,691.3561
687,90000,676.9289
704,92000,703.1801
725,94000,708.4225
741,96000,791.0068
759,98000,713.0281
777,100000,710.155
794,102000,727.7092
812,104000,703.3439
828,106000,824.4197
