episode,timestep,reward
32,2000,398.7549
59,4000,731.7461
83,6000,799.0892
107,8000,836.2676
130,10000,512.5657
155,12000,754.6181
177,14000,864.8632
198,16000,899.6517
222,18000,874.7178
247,20000,-293.931
269,22000,118.9789
294,24000,605.4259
316,26000,190.0627
338,28000,0.3724
360,30000,263.7604
383,32000,732.0085
408,34000,797.3346
435,36000,801.5664
462,38000,-914.1213
486,40000,85.0234
506,42000,860.6406
527,44000,842.635
547,46000,-411.2535
569,48000,848.7686
592,50000,845.0995
614,52000,924.103
637,54000,955.5983
659,56000,85.209
681,58000,426.958
700,60000,977.4676
723,62000,911.8949
747,64000,836.7834
770,66000,903.9738
791,68000,954.322
809,70000,963.4483
830,72000,887.027
855,74000,713.3804
878,76000,917.3649
901,78000,920.8056
920,80000,935.8002
941,82000,342.2493
963,84000,866.3208
985,86000,823.0921
1006,88000,970.022
1027,90000,948.7299
1047,92000,235.3637
1067,94000,917.7687
1088,96000,903.8335
1109,98000,880.9542
1129,100000,836.8075
1152,102000,844.3706
1174,104000,642.7602
1196,106000,859.6738
1213,108000,-163.7776
1232,110000,902.9066
1251,112000,900.4969
1273,114000,824.2716
1293,116000,728.9235
1315,118000,278.8085
1337,120000,514.0411
1359,122000,882.386
1382,124000,862.9398
1403,126000,916.8475
1421,128000,776.1424
1441,130000,852.9036
1461,132000,821.8833
1482,134000,882.8442
1501,136000,959.2139
1523,138000,757.7776
1547,140000,844.3527
1568,142000,625.1487
1589,144000,828.6513
1608,146000,179.338
1628,148000,913.9345
1646,150000,910.5705
1665,152000,900.3495
1683,154000,584.8232
1701,156000,942.3581
1717,158000,997.1934
1734,160000,936.7134
1754,162000,305.128
1773,164000,857.0396
1793,166000,662.7371
1814,168000,922.7316
1836,170000,793.6086
1859,172000,636.5788
1878,174000,896.2407
1896,176000,403.8501
1917,178000,516.3013
1939,180000,137.9819
1959,182000,973.2459
1982,184000,874.9435
2003,186000,751.7472
2024,188000,931.6875
2044,190000,945.2055
2065,192000,907.8757
2085,194000,112.171
2104,196000,925.9939
2122,198000,672.4797
2142,200000,953.45
2163,202000,913.4459
2181,204000,1009.0064
2201,206000,932.0803
2222,208000,618.0778
2245,210000,889.6444
2267,212000,929.2192
2288,214000,981.8514
2306,216000,1006.2789
2327,218000,879.4343
2350,220000,662.3652
2372,222000,950.3959
2391,224000,982.4084
2410,226000,960.7573
2430,228000,104.1901
2452,230000,481.5739
2473,232000,785.1924
