episode,timestep,reward
33,2000,126.369
68,4000,167.7009
96,6000,190.4513
124,8000,199.051
152,10000,210.5574
184,12000,178.311
216,14000,175.8916
248,16000,172.2772
279,18000,164.5023
308,20000,180.4922
340,22000,157.5581
373,24000,131.859
405,26000,145.7623
438,28000,151.3708
468,30000,170.7588
499,32000,156.7792
532,34000,154.5981
564,36000,143.3167
598,38000,131.1217
631,40000,126.5679
662,42000,129.6259
694,44000,130.9432
725,46000,136.2137
758,48000,126.1662
791,50000,128.1205
823,52000,140.7816
854,54000,148.4924
885,56000,158.1558
916,58000,157.3406
950,60000,146.2661
986,62000,136.9679
1021,64000,148.3446
1056,66000,150.8957
